;;;;;;;;;
;Player ;Number of Match ;Avg. KDA ;Kill Participation ;Win rate ;Total Kill;Total Death;Total Assist;Team Win
;L3bron;2;1;0,14;0,00;4;7;3;12
;Coco;2;1,4;0,10;0,00;3;5;4;12
;Invoker;3;1,45;0,16;0,33;3;11;13;15
;Rimuru;2;0,7;0,20;0,00;2;10;5;12
;Eson;2;18;0,25;1,00;2;2;34;26
;SanFord;1;7;0,19;1,00;2;-;5;18
;Aspect;2;3;0,17;0,00;2;2;4;15
;Jaymeister;6;1,34;0,18;0,33;1;29;38;15
REGION SINGAPURA;.BUSH;30;4,14;0,28;0,50;115;72;183;15
;Risen;30;4,55;0,24;0,50;101;64;190;15
;SKY.;30;3,23;0,13;0,50;55;84;216;15
;QDicey.;30;5,55;0,12;0,50;51;55;254;15
;ALPHA V9;30;4,62;0,23;0,50;96;53;149;15
;Potato;27;4,44;0,31;0,70;109;64;175;16
;JPL;27;2,63;0,09;0,70;32;100;231;16
;.Adammir;27;4,79;0,24;0,70;86;52;163;16
;Gear;27;3,61;0,23;0,70;82;70;171;16
;Seilah;25;7,16;0,25;0,67;88;38;184;16
;Smokey;2;6,25;0,02;1,00;6;4;19;16
;Pokemon.;22;3,01;0,27;0,55;80;70;131;12
;a1a2;22;4,51;0,16;0,55;46;41;139;12
;tsunaa;13;3,65;0,23;0,54;67;37;68;12
;Fenrirrr;22;2,92;0,10;0,55;30;65;160;12
;DarA;22;2,44;0,18;0,55;54;61;95;12
;Aeon.;9;1,80;0,06;0,56;19;41;55;12
;RUM RUM RUM;19;3,14;0,14;0,42;35;42;97;8
;Enya;11;3,63;0,18;0,36;45;27;53;8
;Remaniscent;19;3,67;0,31;0,42;75;48;101;8
;TeckaWeii;19;2,49;0,10;0,42;25;68;144;8
;MikuMikuMiii;19;5,61;0,22;0,42;54;33;131;8
;OhMyRoy;8;1,83;0,05;0,50;11;29;42;8
;OhDeerBambi;24;2,84;0,32;0,46;89;69;107;11
;Azura X;24;3,74;0,16;0,46;46;54;156;11
;.Jayy;24;3,68;0,18;0,46;51;53;144;11
;Fossa;24;2,89;0,15;0,46;42;64;143;11
;Chu.;11;2,69;0,09;0,36;24;32;62;11
;LuN.;13;2,67;0,11;0,54;30;33;58;11
;2EZ4ANGELO;4;4,50;0,10;0,00;18;8;18;1
;Kolia;17;1,27;0,10;0,06;18;104;114;1
;JsLove;17;1,69;0,23;0,06;42;74;83;1
;Klaus.;9;1,78;0,09;0,00;17;27;31;1
;AeonOCE;12;1,79;0,09;0,08;16;29;36;1
;Moonie.;17;1,81;0,24;0,06;44;70;83;1
;Xmxmxm;9;1,82;0,14;0,11;26;39;45;1
;.Lolsie;33;2,13;0,09;0,66;35;127;236;19
;ly4ly4ly4;33;5,79;0,32;0,66;129;53;178;19
;Jason;33;4,71;0,17;0,66;69;59;209;19
;505;33;4,86;0,23;0,66;94;59;193;19
;Diablo.;5;2,50;0,02;0,60;9;10;16;19
;.babycakes;28;2,68;0,19;0,67;76;74;122;19
;Dora;24;3,01;0,10;0,50;36;90;235;12
;Ryeb;24;3,09;0,25;0,50;90;80;157;12
;Bento;24;3,33;0,13;0,50;45;57;145;12
;Monchichi;24;4,53;0,29;0,50;104;58;159;12
;Swirled;24;4,89;0,22;0,50;79;54;185;12
REGION KAMBOJA;Akkun;14;3,13;0,21;0,29;44;30;50;12
;ALGRIMMM;17;3,80;0,20;0,29;59;44;108;4
;ATM;2;11,50;0,20;1,00;5;2;18;11
;Baboon;13;1,67;0,21;0,31;9;52;78;12
;BIIMO;5;8,50;0,20;0,60;9;6;42;11
;Bob.;2;7,67;0,17;0,50;6;3;17;10
;BOOM;26;2,56;0,16;0,58;68;82;142;10
;BOXI;20;3,42;0,21;0,70;40;85;251;10
;C CAT;24;3,14;0,17;0,58;54;58;128;11
;CatGoD;20;2,57;0,22;0,35;82;76;113;4
;D-pressioN;12;1,38;0,15;0,33;27;40;28;6
;D7;20;3,07;0,24;0,35;30;70;185;4
;EMBER;17;3,43;0,20;0,65;71;70;169;10
;FELIX;20;3,54;0,16;0,70;66;63;157;10
;Firejian;6;1,00;0,20;0,00;8;25;17;0
;Fu??;22;2,77;0,14;0,55;64;52;80;11
;GangJr;4;0,59;0,15;0,00;5;22;8;0
;Hakurai;13;6,16;0,22;0,46;34;25;120;10
;Han Xin;14;1,01;0,19;0,00;33;70;38;0
;HOUV;20;5,45;0,22;0,70;138;55;162;10
;Jaxx;1;0,67;0,17;0,00;0;3;2;6
;Jing Kang;21;3,17;0,24;0,76;29;88;250;12
;Kray;17;2,88;0,17;0,29;46;51;101;4
;Levii;4;0,53;0,21;0,00;2;19;8;6
;LINKER;6;1,55;0,20;0,00;10;22;24;0
;LuTu;17;3,80;0,22;0,47;74;45;97;8
;Malone;4;2,58;0,22;0,50;12;12;19;4
;Mejojo;14;1,48;0,21;0,00;28;50;46;0
;MikeKzyx;12;1,12;0,17;0,00;18;51;39;0
;Mizu;1;0,75;0,25;0,00;0;4;3;6
;Naiker;1;3,00;0,21;1,00;2;2;4;8
;NAJA;21;3,25;0,22;0,76;107;84;166;12
;Oppi;24;4,02;0,22;0,58;134;65;127;10
;PANHA;21;5,51;0,24;0,76;164;53;128;12
;PARAGON;1;11,00;0,24;1,00;6;1;5;10
;PEEKABOO;19;3,49;0,21;0,58;55;49;116;11
;Ravenn;12;1,83;0,13;0,33;17;29;36;6
;Rolling;13;3,14;0,20;0,31;29;29;62;6
;RUN;19;3,91;0,20;0,68;100;68;166;10
;SaddterroR~;2;5,17;0,18;1,00;10;6;21;4
;SAKURA;21;2,78;0,16;0,76;71;74;135;12
;Senpai;24;4,21;0,20;0,58;66;58;178;10
;SKYZY.;24;4,35;0,23;0,58;46;54;189;11
;Tyyy;26;3,11;0,21;0,58;32;90;248;10
;WADU;21;2,80;0,15;0,76;49;66;136;12
;WIGHTNITE;15;5,10;0,20;0,67;70;31;88;10
;XE ON;24;4,33;0,24;0,58;115;58;136;11
;YOKIE;17;4,94;0,21;0,47;57;35;116;8
;Zann_OrrOrr;14;1,80;0,25;0,00;15;50;75;0
;Zee x3;17;3,08;0,20;0,47;57;52;103;8
;Zeroo;17;2,39;0,16;0,47;36;54;93;8
;Zorry;16;2,56;0,20;0,44;18;62;141;8
