No,Nama Kereta,Nomor Kereta ,Jam Berangkat,Jam Tiba,daya loko (hp),daya loko (kW),daya pembangkit (kw),daya total (kW)
94,SENJA UTAMA SOLO,KA 133A,06:10:00 PM,03:00:00 AM,2200,1617,200,1817
95,TAKSAKA,KA 7025,10:35:00 AM,06:44:00 PM,2200,1617,200,1817
96,TAKSAKA,KA 7011,09:35:00 PM,04:53:00 AM,2200,1617,200,1817
97,TAKSAKA,KA 7009,07:55:00 AM,03:32:00 PM,2200,1617,200,1817
98,TAKSAKA,KA 83A,09:05:00 PM,04:22:00 AM,2200,1617,200,1817
99,TAKSAKA,KA 81A,08:50:00 AM,03:59:00 PM,2200,1617,200,1817
100,ARGO DWIPANGGA,KA 9A,07:55:00 PM,03:55:00 AM,2200,1617,200,1817
101,ARGO LAWU,KA 7A,08:30:00 AM,04:28:00 PM,2200,1617,200,1817
102,SINGASARI,KA 101,04:35:00 PM,06:18:00 AM,2200,1617,200,1817
103,BRANTAS,KA 109,12:15:00 PM,01:45:00 AM,2200,1617,200,1817
104,BANGUNKARTA,KA 121A,05:10:00 AM,05:22:00 PM,2200,1617,200,1817
105,PASUNDAN,KA 285,05:50:00 AM,07:43:00 PM,2200,1617,200,1817
106,MATARMAJA,KA 281,09:25:00 AM,01:14:00 AM,2200,1617,200,1817
107,KERTAJAYA,KA 255,09:05:00 PM,08:29:00 AM,2200,1617,200,1817
108,JAYAKARTA,KA 253A,02:30:00 PM,03:22:00 AM,2200,1617,200,1817
109,MAJAPAHIT,KA 251,06:30:00 PM,08:47:00 AM,2200,1617,200,1817
110,SANCAKA,KA 175,09:00:00 AM,01:00:00 PM,2200,1617,200,1817
111,KERTANEGARA,KA 169,08:20:00 AM,05:17:00 PM,2200,1617,200,1817
112,MUTIARA SELATAN,KA 131,07:45:00 PM,08:00:00 AM,2200,1617,200,1817
113,DHARMAWANGSA EKSPRES,KA 129,10:35:00 PM,09:25:00 AM,2200,1617,200,1817
114,GUMARANG,KA 127,03:55:00 PM,02:38:00 AM,2200,1617,200,1817
115,HARINA,KA 123-126,05:40:00 PM,04:52:00 AM,2200,1617,200,1817
116,MALABAR,KA 119,05:10:00 PM,06:56:00 AM,2200,1617,200,1817
117,JAYABAYA,KA 108-105,11:50:00 AM,01:25:00 AM,2200,1617,200,1817
118,GAYA BARU MALAM SELATAN,KA 103A,12:00:00 PM,01:32:00 AM,2200,1617,200,1817
119,GAJAYANA,KA 7005,05:45:00 PM,07:40:00 AM,2200,1617,200,1817
120,TURANGGA,KA 79,06:45:00 PM,05:34:00 AM,2200,1617,200,1817
121,SEMBRANI,KA 77,06:55:00 PM,04:27:00 AM,2200,1617,200,1817
122,BIMA ,KA 75A,05:10:00 PM,04:52:00 AM,2200,1617,200,1817
123,BRAWIJAYA,KA 73,04:00:00 PM,05:06:00 AM,2200,1617,200,1817
124,GAJAYANA,KA 71A,02:25:00 PM,03:29:00 AM,2200,1617,200,1817
125,ARGO WILIS,KA 5,07:00:00 AM,05:43:00 PM,2200,1617,200,1817
126,ARGO BROMO ANGGREK,KA 1,09:00:00 AM,05:44:00 PM,2200,1617,200,1817
127,ARGO BROMO ANGGREK,KA 3,08:35:00 PM,05:19:00 AM,2200,1617,200,1817
128,RANGGAJATI,KA 114-111,05:10:00 AM,07:33:00 PM,2200,1617,200,1817
129,MUTIARA TIMUR,KA 182-179,05:30:00 PM,05:35:00 AM,2200,1617,200,1817
130,WIJAYAKUSUMA,KA 118-115,11:30:00 AM,02:15:00 AM,2200,1617,200,1817
131,LOGAWA,KA 250-KA 247,06:00:00 AM,07:31:00 PM,2200,1617,200,1817
